iter	RMSE
0	77888.90694
1	79336.01394
2	78347.45228
3	77323.67388
4	76371.93925	5	75388.01086	6	74544.608277	73685.1461688	72842.3946599	71936.9414710	68946.74033
11	68071.67547
12	67301.2781
113	68751.07289114	67922.83308115	67279.96818116	66490.05451717	65769.37841818	65102.02161919	64405.38782020	63764.44132121	63022.53542222	62386.75772323	61743.09822424	61163.6069
25	60499.82602626	59843.10882727	59271.75452828	58692.7586229	58129.12251
30	57516.16824
31	57014.22759
32	56540.19331
33	56015.86662
34	55492.78955
35	54968.47452
36	54443.18658
37	53996.0072
38	53478.94809
39	52999.78972
40	52506.15756
41	52025.21698
42	51550.7362
43	51124.70739
44	50691.67542
45	50261.23004
46	49843.91438
47	47247.2712
448	49001.435
49	48632.3421
50	48284.01226
5151	45734.6508552	45364.08035553	45040.82525554	44698.03894555	44349.96601556	44016.4715
57	43648.94792
58	43321.75052
59	42981.56977
60	45023.84257
61	44780.89864
62	44504.49181
63	44240.14329
64	43935.48337
65	41284.24538
66	40995.70838
67	40715.09288
68	40417.51077
69	40193.58785
70	39957.49945
71	39707.35828
72	39470.03934
73	39197.50125
74	38933.95943
75	38695.30095
76	38493.58226
77	38273.35093
78	38052.47756
79	37863.94112
80	37630.2213
81	37429.56433
82	37272.27309
83	37058.7599
84	36880.32829
85	36662.27261
86	36475.93039
87	36300.28059
88	36130.7958
89	35946.30933
90	35775.44811
91	35595.23945
92	35441.43391
93	35295.4511
94	35110.02299
95	34970.20718
96	34838.46181
97	34667.43992
98	34507.90468
99	34320.10854
100	34177.70432
101	34030.54011
102	33940.73805
103	33786.89073
104	33652.11685
105	33528.26081
106	33391.04589
107	33235.54375
108	33097.10605
109	32947.41659
110	32826.81003
111	32698.99338
112	32578.16418
113	32472.08596
114	32350.16981
115	32222.18618
116	32106.0786
117	31988.95412
118	31892.52545
119	31762.09705
120	31637.05195
121	31525.94239
122	31423.94268
123	31323.7381
124	31183.50714
125	31080.24762
126	30987.37674
127	30886.15326
128	30780.8565
129	30684.22782
130	30597.1327
131	30484.93577
132	30386.80396
133	30300.07817
134	30205.3689
135	30113.67582
136	30024.68949
137	29924.7439
138	29843.16037
139	29757.97691
140	29687.11828
141	29589.12859
142	29501.77093
143	29434.05262
144	29371.71526
145	29309.72873
146	29228.23705
147	29167.11449
148	29093.86187
149	28998.89367
150	28926.95113
151	28836.27233
152	28759.89718
153	28677.2605
154	28584.94223
155	28509.50246
156	28422.62471
157	28356.11359
158	28273.8829
159	28191.22162
160	28120.93147
161	28056.53241
162	27981.94449
163	27915.62799
164	27851.43444
165	27782.95943
166	27728.0931
167	27654.69577
168	27610.8293
169	27540.00323
170	27497.01088
171	27431.73162
172	27365.65828
173	27304.23273
174	27242.78395
175	27178.36571
176	27115.27047
177	27063.99939
178	27015.31628
179	26961.32198
180	26927.30714
181	26877.83578
182	26828.03689
183	26774.8497
184	26714.39667
185	26677.27782
186	26620.58342
187	26570.20987
188	26503.39822
189	26457.66386
190	26414.19772
191	26365.07155
192	26311.12412
193	26284.1854
194	26226.78911
195	26182.55136
196	26143.98953
197	26086.90032
198	26047.6177
199	25998.87467
200	25946.4051
201	25888.13508
202	25846.66376
203	25811.55536
204	25756.82644
205	25705.15967
206	25653.40195
207	25603.14611
208	25566.84135
