iter	Passed	Remaining
0	9	9464
1	18	9401
2	24	8038
3	33	8336
4	38	7576
5	43	7173
6	54	7673
7	59	7370
8	64	7065
9	68	6818
10	74	6682
11	79	6582
12	86	6592
13	96	6786
14	104	6845115	110	6783116	118	6880117	124	6800118	131	6780119	136	6684220	142	6649221	149	6661222	155	6596223	166	6768224	171	6701
25	179	6729226	185	6671
27	190	6614228	196	6590229	207	6702
30	216	6776
31	222	6721
32	229	6711
33	234	6652
34	245	6771
35	254	6825
36	264	6884
37	269	6829
38	276	6805
39	285	6847
40	294	6880
41	299	6821
42	304	6783443	311	6757444	316	6709445	321	6675446	327	665047	330	6547
448	339	6592449	348	661450	349	6498
51	357	6517
52	364	6512
53	371	6513
54	378	6508
55	384	6477
56	389	6451
57	396	6445
58	402	6421
59	411	6446
660	425	6542661	430	6520662	436	6489663	443	6483664	448	644565	460	6510
66	466	6491
67	471	6463
68	477	6446
69	484	6432
70	490	6414
71	495	6388
72	505	6420
73	511	6398
74	519	6402
75	525	6387
76	530	6360
77	538	6362
78	544	6348
79	557	6406
80	563	6393
81	570	6381
82	577	6374
83	582	6353
84	588	6335
85	602	6399
86	607	6376
87	617	6401
88	623	6379
89	628	6353
90	634	6342
91	642	6339
92	648	6328
93	655	6321
94	666	6348
95	671	6327
96	677	6310
97	684	6300
98	692	6298
99	700	6300
100	704	6272
101	709	6247
102	717	6244
103	723	6230
104	730	6226
105	735	6204
106	740	6183
107	753	6219
108	758	6202
109	766	6199
110	774	6201
111	782	6204
112	788	6186
113	800	6220
114	809	6226
115	816	6219
116	821	6202
117	828	6192
118	834	6175
119	840	6165
120	847	6160
121	867	6242
122	874	6236
123	883	6244
124	892	6248
125	899	6235
126	905	6222
127	912	6213
128	919	6205
129	927	6203
130	932	6183
131	937	6166
132	945	6162
133	950	6142
134	958	6139
135	964	6126
136	969	6105
137	986	6162
138	995	6163
139	1000	6143
140	1012	6170
141	1017	6150
142	1025	6147
143	1030	6128
144	1040	6137
145	1048	6134
146	1059	6147
147	1067	6143
148	1074	6138
149	1080	6121
150	1084	6098
151	1094	6103
152	1099	6088
153	1107	6085
154	1113	6069
155	1119	6059
156	1126	6047
157	1132	6035
158	1140	6033
159	1145	6016
160	1151	5999
161	1156	5982
162	1162	5968
163	1168	5955
164	1173	5940
165	1178	5922
166	1184	5909
167	1191	5901
168	1199	5897
169	1207	5893
170	1213	5881
171	1223	5891
172	1229	5875
173	1234	5861
174	1240	5846
175	1248	5845
176	1256	5842
177	1263	5832
178	1269	5823
179	1274	5805
180	1281	5798
181	1288	5790
182	1293	5774
183	1303	5779
184	1309	5768
185	1314	5751
186	1321	5746
187	1327	5733
188	1335	5732
189	1343	5725
190	1351	5724
191	1357	5712
192	1362	5698
193	1370	5694
194	1377	5684
195	1385	5684
196	1390	5668
197	1397	5659
198	1403	5647
199	1410	5640
200	1417	5633
201	1423	5623
202	1428	5609
203	1435	5600
204	1440	5585
205	1447	5577
206	1453	5567
207	1458	5554
208	1467	5554
209	1473	5543
210	1479	5531
211	1485	5519
212	1490	5506
213	1497	5501
214	1504	5493
215	1509	5479
216	1519	5481
217	1525	5470
218	1531	5463
219	1537	5450
220	1547	5454
221	1552	5442
222	1557	5427
223	1563	5416
224	1568	5403
225	1574	5392
226	1589	5412
227	1596	5405
228	1602	5395
229	1608	5383
230	1614	5373
231	1622	5372
232	1631	5369
233	1636	5357
234	1642	5345
235	1647	5332
236	1652	5320
237	1659	5314
238	1667	5307
239	1672	5295
240	1682	5300
241	1689	5290
242	1695	5280
243	1703	5279
244	1712	5275
245	1717	5263
246	1722	5250
247	1728	5242
248	1734	5231
249	1740	5221
250	1746	5212
251	1751	5199
252	1758	5192
253	1764	5181
254	1772	5178
255	1778	5169
256	1784	5158
257	1792	5154
258	1798	5145
259	1803	5133
260	1809	5122
261	1813	5109
262	1818	5094
263	1824	5087
264	1834	5086
265	1842	5084
266	1848	5074
267	1854	5066
268	1861	5058
269	1867	5048
270	1876	5047
271	1881	5035
272	1886	5024
273	1893	5016
274	1898	5004
275	1903	4993
276	1909	4983
277	1916	4977
278	1924	4973
279	1931	4966
280	1939	4963
281	1944	4951
282	1950	4940
283	1958	4936
284	1962	4924
285	1967	4911
286	1972	4901
287	1979	4894
288	1988	4892
289	1995	4885
290	2003	4881
291	2009	4871
292	2016	4866
293	2024	4861
294	2029	4851
295	2036	4844
296	2042	4833
297	2049	4828
298	2054	4816
299	2059	4805
300	2064	4794
301	2072	4789
302	2077	4779
303	2085	4774
304	2091	4765
305	2097	4756
306	2105	4753
307	2110	4742
308	2125	4753
309	2138	4759
310	2147	4757
311	2154	4750
312	2159	4739
313	2167	4734
314	2172	4723
315	2176	4711
316	2183	4705
317	2189	4696
318	2196	4689
319	2203	4681
320	2208	4671
321	2214	4663
322	2220	4653
323	2225	4644
324	2230	4633
325	2237	4625
326	2242	4616
327	2249	4609
328	2256	4601
329	2261	4592
330	2269	4586
331	2273	4574
332	2281	4570
333	2287	4560
334	2293	4553
335	2299	4544
336	2305	4535
337	2310	4524
338	2316	4516
339	2323	4511
340	2330	4504
341	2336	4495
342	2345	4492
343	2350	4482
344	2363	4486
345	2368	4476
346	2372	4465
347	2385	4469
348	2400	4477
349	2405	4467
350	2413	4462
351	2418	4452
352	2424	4443
353	2432	4439
354	2439	4432
355	2449	4431
